"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"890 Literatur in anderen Sprachen ; B Belletristik";"ISBN:978-3-471-36062-0 Festeinband: EUR 21.99 (DE), EUR 22.70 (AT), CHF 24.90 (freier Preis), 3-471-36062-X, IDN:1270832751";"";"Kashiwai, Hisashi [Verfasser] ; Mikulich, Ekaterina [Übersetzer]";"[Kashiwai] ; Das Restaurant der verlorenen Rezepte : Roman / Hisashi Kashiwai ; aus dem Japanischen von Ekaterina Mikulich";"";"";"Berlin : List";"2023";"253 Seiten ; 20 cm, 278 g";"978-3-471-36062-0";"";"";"";"Festeinband: EUR 21.99 (DE), EUR 22.70 (AT), CHF 24.90 (freier Preis)";"ger";"XA-DE-BE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=0b46a12474fe4c90b9c3fcc377d9db8c&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Hisashi Kashiwai: Das Restaurant der verlorenen Rezepte";"Hisashi Kashiwai: Kamogawa shokudo";"";"22,N43 , 23,A36"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-548-06653-0 Broschur : EUR 11.99 (DE), EUR 12.40 (AT), CHF 13.90 (freier Preis), 3-548-06653-4, IDN:1265200017";"";"Osman, Richard [Verfasser] ; Roth, Sabine [Übersetzer]";"[The Thursday Murder Club] ; Der Donnerstagsmordclub : Kriminalroman / Richard Osman ; aus dem Englischen von Sabine Roth";"";"1. Auflage, ungekürzte Ausgabe";"Berlin : Ullstein Taschenbuch Verlag";"2023";"458 Seiten ; 19 cm, 340 g";"978-3-548-06653-0";"";"";"";"Broschur : EUR 11.99 (DE), EUR 12.40 (AT), CHF 13.90 (freier Preis)";"ger";"XA-DE-BE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=a5a2672e2b9941feb33bda8667f8a9df&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"";"The Thursday Murder Club";"";"22,N33 , 23,A15"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-404-19206-9 Broschur : EUR 13.00 (DE), EUR 13.40 (AT), CHF 17.90 (freier Preis), 3-404-19206-0, IDN:1283338289";"";"Hülsmann, Petra [Verfasser]";"Morgen mach ich bessere Fehler : Roman / Petra Hülsmann";"";"Originalausgabe";"Köln : Lübbe";"2023";"428 Seiten ; 19 cm, 425 g";"978-3-404-19206-9";"";"";"";"Broschur : EUR 13.00 (DE), EUR 13.40 (AT), CHF 17.90 (freier Preis)";"ger";"XA-DE-NW";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=7ad717eb75a0402da01f413e1514eb68&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783785785362; Erscheint auch als: ISBN: 9783754009871; Erscheint auch als Petra Hülsmann: Morgen mach ich bessere Fehler";"";"";"23,N12 , 23,A34"
"839 Literatur in anderen germanischen Sprachen ; B Belletristik";"ISBN:978-3-423-28364-9 Festeinband : circa EUR 24.00 (DE), circa EUR 24.70 (AT), circa CHF 32.50 (freier Preis), 3-423-28364-5, IDN:1285899954";"";"Ajvide Lindqvist, John [Verfasser] ; Hüther, Franziska [Übersetzer] ; Essrich, Ricarda [Übersetzer] ; Alms, Thorsten [Übersetzer] ; Langendörfer, Hannes [Übersetzer]";"[Skriften i vattnet] ; Refugium : Thriller / John Ajvide Lindqvist ; aus dem Schwedischen von Franziska Hüther, Ricarda Essrich, Hannes Langendörfer und Thorsten Alms";"";"Deutsche Erstausgabe";"München : dtv";"2023";"523 Seiten ; 22 cm, 632 g";"978-3-423-28364-9";"";"";"";"Festeinband : circa EUR 24.00 (DE), circa EUR 24.70 (AT), circa CHF 32.50 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=d96c167321ee40cf943f6e89858c37e7&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als John Ajvide Lindqvist: Refugium";"Skriften i vattnet";"";"23,N16 , 23,A35"
"839 Literatur in anderen germanischen Sprachen ; B Belletristik";"URN:urn:nbn:de:101:1-2023051303591950494701, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023051303591950494701, URL:http://d-nb.info/1289318042/34, URL:http://www.dtv.de, ISBN:978-3-423-44217-6, IDN:1289318042";"Online-Ressource";"Ajvide Lindqvist, John [Verfasser] ; Alms, Thorsten [Übersetzer]";"[Vänligheten] ; Unwesen : Roman | »Schwedens Antwort auf Stephen King.« Daily Mirror / John Ajvide Lindqvist";"";"1. Auflage";"München : dtv";"2023";"Online-Ressource, 768 Seiten";"978-3-423-44217-6";"";"";"";"";"ger";"XA-DE-BY";"";"";"";"";"";"";"";"Erscheint auch als John Ajvide Lindqvist: Unwesen";"Vänligheten";"";"23,O06"
"890 Literatur in anderen Sprachen ; B Belletristik";"ISBN:978-3-570-10436-1 Festeinband : circa EUR 22.00 (DE), circa EUR 22.70 (AT), circa CHF 30.15, circa CHF 30.90 (freier Preis), 3-570-10436-2, IDN:1254681922";"";"Natsukawa, Sōsuke [Verfasser] ; Mangold, Sabine [Übersetzer]";"[Hon o mamorō to suru neko no hanashi] ; Die Katze, die von Büchern träumte : Roman / Sosuke Natsukawa ; aus dem Japanischen von Sabine Mangold";"";"1. Auflage";"München : C. Bertelsmann";"2022";"190 Seiten ; 22 cm, 366 g";"978-3-570-10436-1";"";"";"";"Festeinband : circa EUR 22.00 (DE), circa EUR 22.70 (AT), circa CHF 30.15, circa CHF 30.90 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=24ba1f7bff314d06ad96d4e4afefbeee&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Sōsuke Natsukawa: Die Katze, die von Büchern träumte";"Hon o mamorō to suru neko no hanashi";"";"22,N14 , 22,A51"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-27399-3 Festeinband : EUR 28.00 (DE), EUR 28.80 (AT), CHF 37.95, CHF 38.90 (freier Preis), 3-453-27399-0, IDN:1254684808";"";"King, Stephen [Verfasser] ; Kleinschmidt, Bernhard [Übersetzer]";"[Fairy tale] ; Fairy tale : Roman / Stephen King ; aus dem Amerikanischen von Bernhard Kleinschmidt";"";"";"München : Heyne";"2022";"877 Seiten ; 22 cm, 881 g";"978-3-453-27399-3";"";"";"";"Festeinband : EUR 28.00 (DE), EUR 28.80 (AT), CHF 37.95, CHF 38.90 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=69fff67486da48ee855912d887e2692b&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Stephen King: Fairy Tale; Erscheint auch als: ISBN: 9783837160413; Erscheint auch als: ISBN: 9783837160420";"Fairy tale";"";"22,N14 , 22,A46"
"300 Sozialwissenschaften, Soziologie, Anthropologie ; 940 Geschichte Europas ; 943 Geschichte Deutschlands";"ISBN:978-3-96289-146-6 Festeinband : circa EUR 25.00 (DE), circa EUR 25.70 (AT), 3-96289-146-3, IDN:1255134712";"";"Kuszyk, Karolina [Verfasser] ; Hartmann, Bernhard [Übersetzer]";"[Poniemieckie] ; In den Häusern der Anderen : Spuren deutscher Vergangenheit in Westpolen / Karolina Kuszyk ; aus dem Polnischen von Bernhard Hartmann";"";"";"Berlin : Ch. Links Verlag";"2022";"395 Seiten : Illustrationen ; 22 cm, 626 g";"978-3-96289-146-6";"";"";"";"Festeinband : circa EUR 25.00 (DE), circa EUR 25.70 (AT)";"ger";"XA-DE-BE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=3b90e33c10b5410f8343e0d9043f587d&prov=M&dok_var=1&dok_ext=htm]; Inhaltsverzeichnis [http://d-nb.info/1255134712/04]";"";"";"Polen &lt;West> ; Deutsche ; Vertreibung ; Umsiedlung ; Sachkultur ; Kulturerbe ; Kollektives Gedächtnis ; Geschichte 1945-";"Erscheint auch als Karolina Kuszyk: In den Häusern der anderen";"Poniemieckie";"";"22,N16 , 23,A08"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:1-2022070122311319846031, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2022070122311319846031, URL:http://d-nb.info/126162808X/34, URL:http://www.festa-verlag.de/, ISBN:978-3-86552-997-8, IDN:126162808X";"Online-Ressource";"Clark, P. Djèlí [Verfasser]";"Ring Shout : Thriller / P. Djèlí Clark";"";"1. Auflage";"Borsdorf bei Leipzig : Festa Verlag";"2022";"Online-Ressource, 256 Seiten";"978-3-86552-997-8";"";"";"";"";"ger";"XA-DE-SN";"";"";"";"";"";"";"";"";"";"";"22,O08"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-27359-7 Festeinband : EUR 26.00 (DE), EUR 26.80 (AT), CHF 35.61, CHF 36.50 (freier Preis), 3-453-27359-1, IDN:1230762841";"";"King, Stephen [Verfasser] ; Kleinschmidt, Bernhard [Übersetzer]";"Billy Summers : Roman / Stephen King ; aus dem Amerikanischen von Bernhard Kleinschmidt";"";"";"München : Heyne";"2021";"717 Seiten ; 22 cm";"978-3-453-27359-7";"";"";"";"Festeinband : EUR 26.00 (DE), EUR 26.80 (AT), CHF 35.61, CHF 36.50 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=71f58291598b4da7897c5e26d2a47072&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Stephen King: Billy Summers; Erscheint auch als: ISBN: 9783837157185; Erscheint auch als: ISBN: 9783837157192";"";"";"21,N15 , 21,A47"
